FIRST,LAST,SUBJECT,ASSIGNMENT_NO,ASSIGNMENT_DESC,GRADE,MAKEUP,DATE_DUE,DATE_SUBMIT
Bill,Edwards,spanish,1,¡Hola! ¿Cómo se llama?,87,False,2023-01-01,2023-01-15
Bill,Edwards,spanish,1,¡Hola! ¿Cómo se llama?,83,True,2023-01-01,2023-01-29
David,Chen,spanish,1,¡Hola! ¿Cómo se llama?,69,False,2022-01-01,2022-01-01
David,Chen,spanish,1,¡Hola! ¿Cómo se llama?,64,True,2022-01-01,2022-01-02
William,Chen,spanish,1,¡Hola! ¿Cómo se llama?,80,False,2023-01-01,2023-01-15
William,Chen,spanish,1,¡Hola! ¿Cómo se llama?,88,True,2023-01-01,2023-01-29
William,Chen,spanish,1,¡Hola! ¿Cómo se llama?,,,,
Rafferty,Russell,spanish,1,¡Hola! ¿Cómo se llama?,79,False,2023-01-01,2023-01-15
Rafferty,Russell,spanish,1,¡Hola! ¿Cómo se llama?,72,True,2023-01-01,2023-01-16
Jason,Ramirez,spanish,1,¡Hola! ¿Cómo se llama?,12,False,2023-01-01,2023-01-01
Jason,Ramirez,spanish,1,¡Hola! ¿Cómo se llama?,31,True,2023-01-01,2023-01-15
Fred,Fernando,spanish,1,¡Hola! ¿Cómo se llama?,97,False,2022-01-01,2022-01-15
Fred,Fernando,spanish,1,¡Hola! ¿Cómo se llama?,98,True,2022-01-01,2022-01-29
杨作亮,AlexYang,spanish,1,¡Hola! ¿Cómo se llama?,77,False,2022-01-01,2022-01-15
杨作亮,AlexYang,spanish,1,¡Hola! ¿Cómo se llama?,70,True,2022-01-01,2022-01-16
Bill,Edwards,spanglish,2,¿A dónde vamos hoy?,87,False,2022-01-01,2022-01-01
David,Chen,spanish,2,¿A dónde vamos hoy?,68,False,2023-01-01,2023-01-15
William,Chen,spanish,2,¿A dónde vamos hoy?,84,False,2022-01-01,2022-01-01
Rafferty,Russell,spanish,2,¿A dónde vamos hoy?,76,False,2022-01-01,2022-01-01
Jason,Ramirez,spanish,2,¿A dónde vamos hoy?,29,False,2022-01-01,2022-01-15
Fred,Fernando,spanish,2,¿A dónde vamos hoy?,95,False,2023-01-01,2023-01-01
杨作亮,AlexYang,spanish,2,¿A dónde vamos hoy?,78,False,2022-01-01,2022-01-15
Bill,Edwards,spanish,3,Describe a tu familia,83,False,2023-01-01,2023-01-01
David,Chen,spanish,3,Describe a tu familia,64,False,2022-01-01,2022-01-01
William,Chen,spanish,3,Describe a tu familia,81,False,2022-01-01,2022-01-15
Rafferty,Russell,spanish,3,Describe a tu familia,70,False,2022-01-01,2022-01-01
Jason,Ramirez,spanish,3,Describe a tu familia,55,False,2023-01-01,2023-01-01
Fred,Fernando,spanish,3,Describe a tu familia,92,False,2022-01-01,2022-01-15
杨作亮,AlexYang,spanish,3,Describe a tu familia,76,False,2022-01-01,2022-01-15
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
Bill,Edwards,spanish,4,Verbos importantes: ser, estar, haber,83,False,2022-01-01,2022-01-15
David,Chen,spanish,4,Verbos importantes: ser, estar, haber,61,False,2023-01-01,2023-01-01
David,Chen,spanish,4,Verbos importantes: ser, estar, haber,Pass,False,2023-01-01,2023-01-01
William,Chen,spanish,4,Verbos importantes: ser, estar, haber,87,False,2022-01-01,2022-01-15
Rafferty,Russell,spanish,4,Verbos importantes: ser, estar, haber,71,False,2022-01-01,2022-01-15
Jason,Ramirez,spanish,4,Verbos importantes: ser, estar, haber,11,False,2022-01-01,2022-01-15
Fred,Fernando,spanish,4,Verbos importantes: ser, estar, haber,90,False,2022-01-01,2022-01-01
杨作亮,AlexYang,spanish,4,Verbos importantes: ser, estar, haber,76,False,2022-01-01,2022-01-01

